tfidfchi2_0_predictor,tfidfchi2_1_predict,tfidfchi2_2_metric,tfidfchi2_3_chidamb,tfidfchi2_4_kemer,tfidfchi2_5_prone,tfidfchi2_6_nasa,tfidfchi2_7_churn,tfidfchi2_8_dataset,tfidfchi2_9_defect,tfidfchi2_10_modul,tfidfchi2_11_naiv,tfidfchi2_12_empir,tfidfchi2_13_regress,tfidfchi2_14_ssm,tfidfchi2_15_bay,tfidfchi2_16_logist,tfidfchi2_17_cgbr,tfidfchi2_18_releas,tfidfchi2_19_pessim,tfidfchi2_20_fenton,tfidfchi2_21_ohlsson,tfidfchi2_22_chum,tfidfchi2_23_ranker,tfidfchi2_24_class,tfidfchi2_25_postreleas,tfidfchi2_26_c3,tfidfchi2_27_kc1,tfidfchi2_28_imbalanc,tfidfchi2_29_journal,tfidfchi2_30_oo,tfidfchi2_31_cart,tfidfchi2_32_auc,tfidfchi2_33_ck,tfidfchi2_34_bn,tfidfchi2_35_pc1,tfidfchi2_36_grail,tfidfchi2_37_holi,tfidfchi2_38_repositori,tfidfchi2_39_undisput,tfidfchi2_40_rup,tfidfchi2_41_71,tfidfchi2_42_debat,tfidfchi2_43_binomi,tfidfchi2_44_project,tfidfchi2_45_public,tfidfchi2_46_stratif,tfidfchi2_47_misclassif,tfidfchi2_48_qmood,tfidfchi2_49_learn,tfidfchi2_50_bag,tfidfchi2_51_cohes,tfidfchi2_52_103,tfidfchi2_53_telepres,tfidfchi2_54_prereleas,tfidfchi2_55_softwar,tfidfchi2_56_ics,tfidfchi2_57_grnn,tfidfchi2_58_mood,tfidfchi2_59_mvgnb,tfidfchi2_60_aic,tfidfchi2_61_ccbo,tfidfchi2_62_msr,tfidfchi2_63_rvc,tfidfchi2_64_c4,tfidfchi2_65_inherit,tfidfchi2_66_rhino,tfidfchi2_67_roughli,tfidfchi2_68_studi,tfidfchi2_69_mdp,tfidfchi2_70_rank,tfidfchi2_71_wc,tfidfchi2_72_publicli,tfidfchi2_73_cm1,tfidfchi2_74_jm1,tfidfchi2_75_lad,tfidfchi2_76_classifi,tfidfchi2_77_forest,tfidfchi2_78_2003,tfidfchi2_79_classif,tfidfchi2_80_unnecessarili,tfidfchi2_81_plethora,tfidfchi2_82_1993,tfidfchi2_83_multivari,tfidfchi2_84_fnr,tfidfchi2_85_eclips,tfidfchi2_86_telecontrol,tfidfchi2_87_quarterli,tfidfchi2_88_histori,tfidfchi2_89_23,tfidfchi2_90_123,tfidfchi2_91_unlabel,tfidfchi2_92_rbbag,tfidfchi2_93_j48,tfidfchi2_94_admpso,tfidfchi2_95_openbsd,tfidfchi2_96_code,tfidfchi2_97_mccabe,tfidfchi2_98_morph,tfidfchi2_99_file,label,abstract
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09504840808143003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05559066449893165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,ongo research intern outsourc softwar product research examin softwar product ictsupport unifi process intern outsourc could execut manag effect address research question result depth literatur review area outsourc intern outsourc inform technolog intern softwar product present studi propos inform commun technolog ict support unifi process model intern outsourc softwar product supmiosp ict supmiosp provid detail guidelin manag entir process intern outsourc integr number key issu relationship risk manag theoret practic aspect ictsupmiosp present theoret level model use basi research practic level help manag stakehold understand multipl activ involv offshor outsourc improv systemat execut ict supiosp effect effici
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11922642292997394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1761543469206397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,requir engin research conduct 40 year import recogn plethora result accumul date improv research understand histor root field real world problem tri solv expos research breadth depth solut propos provid synergist basi improv solut build new one solv real world problem face industri today increas practition awar avail solut detail meta analysi requir engin literatur provid object overview advanc current state disciplin paper repres first step plan multi year analysi present result demograph analysi date type outlet author author affili exist databas 000 requir engin public
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22376159197318393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10234846140297431,0.0,0.0,0.0,0.0,0.0,0.0,0.5365581620156759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,comprehens literatur survey approach mine softwar repositori msr context softwar evolut present particular survey deal investig examin multipl version softwar artifact tempor inform taxonomi deriv analysi literatur present work via four dimens type softwar repositori mine purpos adopt invent methodolog use evalu method qualiti taxonomi demonstr express capabl repres wide spectrum msr investig effect facilit similar comparison msr investig lastli number open research issu msr requir investig identifi
0.0,0.12103190658502982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14154193624576797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1534241012637575,0.0,0.0,0.1447597787365618,0.1057206873176905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06139113876177422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,object build pictur natur type data set use develop evalu differ softwar project effort predict system believ import sinc grow bodi publish work seek assess differ predict approach method perform exhaust search 1980 onward three softwar engin journal research paper use project data set compar cost predict system result identifi total 50 paper use one time total 71 uniqu project data set observ better known easili access data set use repeatedli make potenti disproportion influenti data set also tend amongst oldest potenti problem obsolesc also note 60 percent data set public domain final extract relev inform research paper time consum due differ style present level contextur inform conclus first commun need consid qualiti appropri data set utilis data set equal second need assess way result present order facilit meta analysi whether standard protocol would appropri
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05636534544131018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,model key activ conceptu design system design user well stakehold expert entrepreneur need abl creat share understand system represent paper conduct literatur review provid overview studi collabor model effort conduct give first insight challeng collabor model specif respect group composit collabor particip method model method qualiti collabor model found critic challeng deal lack model skill model support group creat model group versu train empow particip activ particip model effort anoth critic challeng resolv conflict part model integr submodel model differ perspect overview challeng present paper inspir design method support system ultim advanc effici effect collabor model task
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11449196322257307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10035260186768435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11070216823783549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,articl highlight tool integr within softwar engin environ tool integr concern techniqu use form coalit tool provid environ support activ within softwar engin process techniqu use creat environ attempt address aspect softwar develop vari success articl provid time analysi review mani signific project field combin evid collect industri conclud propos empir manifesto futur research see need work justifi tool integr effort term relev socio econom indic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10494645107837168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08186747234478475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11425952510091499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18277265451182081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,object assess extent type techniqu use manag qualiti within softwar engin data set consid particularli interest question context initi promot share secondari analysi data set method perform systemat review avail empir softwar engin studi result 23 mani hundr studi assess explicitli consid data qualiti conclus first commun need consid qualiti appropri data set utilis data set equal second need research mean identifi ideal repair noisi case third becom routin use sensit analysi assess conclus stabil respect assumpt must made concern nois level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08713073951248128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10929258387510803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10822869535015274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,open sourc softwar oss creat potenti inclus larg divers commun everi aspect softwar develop consumpt life cycl howev despit year effort ever grow research commun still know exactli know oss clear idea basi knowledg paper present analysi 155 research artefact area open sourc softwar purpos studi identifi kind open sourc project commun research kind research question ask methodolog use research emerg studi clearer understand know open sourc softwar recommend futur research effort
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1447229068608077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07491972937248642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13115852571379882,0.0,0.11853139823479923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,paper report systemat review empir studi concern effect elicit techniqu subsequ aggreg empir evid gather studi signific result aggreg process follow interview preferenti structur appear one effect elicit techniqu mani techniqu often cite literatur like card sort rank think aloud tend less effect interview analyst experi appear relev factor studi conduct found use intermedi represent elicit signific posit effect note gener rule studi result aggreg replic therefor claim said absolut certain howev use research piec knowledg investig practition develop project alway take account preliminari find
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0849231974285591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1260302169180057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08211215725906727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09245938389085888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,sever studi suggest uncertainti assess softwar develop cost strongli bias toward overconfid softwar cost estim typic believ accur realli overconfid may lead poor project plan mean improv cost uncertainti assess provid evid base guidelin assess softwar develop cost uncertainti base result relev empir studi gener guidelin provid reli sole unaid intuit base uncertainti assess process replac expert judgment formal uncertainti assess model appli structur explicit judgment base process appli strategi base outsid view project combin uncertainti assess differ sourc group work mechan combin use motiv mechan care greater effort like lead improv assess frame assess problem fit structur relev uncertainti inform assess process guidelin preliminari updat respons new evid
